<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0177.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0177.txt </filename>
<title>생각하는 물리 </title>
<author>박성식  </author>
<date>1995  </date>
<publisher>도솔  </publisher>
<kdc>420  </kdc>
<ddc>530  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
우리는	우리/npp+는/jxc
속도를	속도/ncn+를/jco
종단	종단/ncn
속도라고	속도/ncn+라고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
얌전이는	얌전이/nq+는/jxc
이점을	이/mmd+점/nbn+을/jco
마치	마치/mag
생각하지	생각/ncpa+하/xsv+지/ecx
못했던	못하/px+었/ep+던/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf
정답은	정답/ncn+은/jxc
똘똘이	똘똘이/nq
.	./sf
에스컬레이터에서	에스컬레이터/ncn+에서/jca
지하철	지하철/ncn
호선을	호선/ncn+을/jco
갈아타려면	갈/pvg+아/ecs+타/pvg+려면/ecs
계단을	계단/ncn+을/jco
꽤	꽤/mag
많이	많/paa+이/xsa
오르내릴	오르/pvg+아/ecs+내리/pvg+ㄹ/etm
때가	때/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
계단이	계단/ncn+이/jcs
조금	조금/mag
긴	길/paa+ㄴ/etm
역에는	역/ncn+에/jca+는/jxc
에스컬레이터가	에스컬레이터/ncn+가/jcs
설치되어	설치/ncpa+되/xsv+어/ecx
있는데	있/px+는데/ecs
,	,/sp
특히	특히/mag
서울	서울/nq
지하철의	지하철/ncn+의/jcm
2	2/nnc
호선	호/nbu+선/ncn
이대	이대/nq
입구	입구/ncn
역	역/ncn
에스컬레이터는	에스컬레이터/ncn+는/jxc
매우	매우/mag
길다	길/paa+다/ef
.	./sf
에스컬레이터는	에스컬레이터/ncn+는/jxc
가만히	가만/ncn+히/xsa
서	서/pvg+어/ecx
있어도	있/px+어도/ecs
위층까지	위층/ncn+까지/jca
데려다	데리/pvg+어다/ecs
주는	주/px+는/etm
편리한	편리/ncps+하/xsm+ㄴ/etm
기계이다	기계/ncn+이/jp+다/ef
.	./sf
그런데	그런데/maj
간혹	간혹/mag
무슨	무슨/mmd
급한	급하/paa+ㄴ/etm
일이	일/ncn+이/jcs
있는지	있/paa+는지/ecs
어떤	어떤/mmd
사람은	사람/ncn+은/jxc
에스컬레이터	에스컬레이터/ncn
위에서도	위/ncn+에서/jca+도/jxc
걷거나	걷/pvg+거나/ecc
뛰어올라간다	뛰/pvg+어/ecs+오르/pvg+아/ecs+가/pvg+ㄴ다/ef
.	./sf
조금이라도	조금/ncn+이라도/jxc
빨리	빠르/paa+이/xsa
가겠다는	가/pvg+겠/ep+다/ef+는/etm
심정이겠지만	심정/ncn+이/jp+겠/ep+지만/ecs
,	,/sp
다른	다르/paa+ㄴ/etm
사람을	사람/ncn+을/jco
밀쳐서	밀치/pvg+어서/ecs
실례를	실례/ncn+를/jco
범하거나	범하/pvg+거나/ecc
자칫	자칫/mag
큰	크/paa+ㄴ/etm
사고를	사고/ncn+를/jco
불러일으킬	부르/pvg+어/ecs+일으키/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있어	있/paa+어/ecs
위험하다	위험/ncps+하/xsm+다/ef
.	./sf
어쨌든	어쨌든/mag
여기서는	여기/npd+서/jca+는/jxc
그런	그런/mmd
실례를	실례/ncn+를/jco
무릅쓰고	무릅쓰/pvg+고/ecc
순수한	순수/ncps+하/xsm+ㄴ/etm
실험	실험/ncn
정신으로	정신/ncn+으로/jca
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
긴	길/paa+ㄴ/etm
에스컬레이터를	에스컬레이터/ncn+를/jco
타고	타/pvg+고/ecc
가만히	가만/ncn+히/xsa
서서	서/pvg+어서/ecs
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
데	데/nbn
60	60/nnc
초가	초/nbu+가/jcs
걸렸다고	걸리/pvg+었/ep+다고/ecs
하자	하/pvg+자/ef
.	./sf
그런데	그런데/maj
이와	이/npd+와/jct
똑같은	똑같/paa+은/etm
계단을	계단/ncn+을/jco
40	40/nnc
초	초/nbu
동안에	동안/ncn+에/jca
내려올	내리/pvg+어/ecs+올/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
사람이	사람/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
이	이/mmd
사람이	사람/ncn+이/jcs
계단이	계단/ncn+이/jcs
아니라	아니/paa+라/ecs
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
있는	있/px+는/etm
이	이/mmd
에스컬레이터를	에스컬레이터/ncn+를/jco
타고	타/pvg+고/ecs
위에서부터	위/ncn+에서/jca+부터/jxc
거꾸로	거꾸로/mag
내려온다면	내리/pvg+어/ecs+오/pvg+ㄴ다면/ecs
몇	몇/mma
초만에	초/nbu+만/jxc+에/jca
에스컬레이터	에스컬레이터/ncn
아래에	아래/ncn+에/jca
도착할	도착/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
그야	그야/ii
서로	서로/ncn
방향이	방향/ncn+이/jcs
다르니까	다르/paa+니까/ecs
60	60/nnc
초에서	초/nbu+에서/jca
40	40/nnc
초를	초/nbu+를/jco
빼면	빼/pvg+면/ecs
20	20/nnc
초만에	초/nbn+만/jxc+에/jca
내려갈	내리/pvg+어/ecs+가/pvg+ㄹ/etm
수	수/nbn
있겠지	있/paa+겠/ep+지/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
방향이	방향/ncn+이/jcs
반대니까	반대/ncn+니까/ecs
시간이	시간/ncn+이/jcs
더	더/mag
걸린다구	걸리/pvg+ㄴ다구/ef
.	./sf
그러면	그러면/maj
60	60/nnc
초에	초/nbu+에/jca
40	40/nnc
초를	초/nbu+를/jco
더해서	더하/pvg+어서/ecs
100	100/nnc
초	초/nbn
,	,/sp
그러니까	그러니까/maj
1	1/nnc
분	분/nbu
40	40/nnc
초가	초/nbu+가/jcs
걸릴거야	걸리/pvg+ㄹ거야/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
속도를	속도/ncn+를/jco
합한	합하/pvg+ㄴ/etm
것이니까	것/nbn+이/jp+니까/ecs
평균을	평균/ncn+을/jco
내야지	내/pvg+야지/ef
.	./sf
(	(/sl
60	60/nnc
초	초/nbu
+	+/sy
40	40/nnc
초	초/nbu
)	)/sr
2	2/nnc
=	=/sy
50	50/nnc
초가	초/nbu+가/jcs
걸릴	걸리/pvg+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
계단	계단/ncn
거리를	거리/ncn+를/jco
l	l/f
이라고	이/jp+라고/jcr
하면	하/pvg+면/ecs
사람의	사람/ncn+의/jcm
속도는	속도/ncn+는/jxc
이고	이/jp+고/ecc
,	,/sp
에스컬레이터의	에스컬레이터/ncn+의/jcm
속도는	속도/ncn+는/jxc
이라고	이/jp+라고/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있어	있/paa+어/ef
.	./sf
그런데	그런데/maj
반대	반대/ncn
방향이니까	방향/ncn+이/jp+니까/ecs
되지	이/jcc+되/pvg+지/ef
.	./sf
이것은	이것/npd+은/jxc
사람	사람/ncn
속도의	속도/ncn+의/jcm
이니까	이/jp+니까/ecs
120	120/nnc
초가	초/nbn+가/jcs
걸릴	걸리/pvg+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
이	이/mmd
사람은	사람/ncn+은/jxc
영원히	영원/ncn+히/xsa
내려올	내리/pvg+어/ecs+오/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없어	없/paa+어/ef
,	,/sp
왜냐하면	왜냐하면/maj
이	이/mmd
사람이	사람/ncn+이/jcs
1	1/nnc
m	m/su
내려오면	내리/pvg+어/ecs+오/pvg+면/ecs
,	,/sp
동안	그/mmd+동안/ncn
에스컬레이터는	에스컬레이터/ncn+는/jxc
이	이/mmd
사람을	사람/ncn+을/jco
올려	올리/pvg+어/ecx
놓을	놓/px+을/etm
테니까	터/nbn+이/jp+니까/ecs
말이야	말/ncn+이/jp+야/ef
.	./sf
다시	다시/mag
이	이/mmd
사람이	사람/ncn+이/jcs
그	그/npd
를	를/jco
내려가는	내리/pvg+어/ecs+가/pvg+는/etm
동안	동안/ncn
에스컬레이터는	에스컬레이터/ncn+는/jxc
만큼	만큼/nbn
다시	다시/mag
올려	올리/pvg+어/ecx
놓게	놓/px+게/ecs
되지	되/pvg+지/ecx
.	./sf
이	이/mmd
사람이	사람/ncn+이/jcs
내려가는	내리/pvg+어/ecs+가/pvg+는/etm
동안	동안/ncn
계속해서	계속/ncpa+하/xsv+어서/ecs
조금이라도	조금/ncn+이/jp+라도/jxc
올려	올리/pvg+어/ecx
놓게	놓/px+게/ecs
되므로	되/pvg+므로/ecs
영원히	영원/ncn+히/xsa
에스컬레이터	에스컬레이터/ncn
아래로	아래/ncn+로/jca
내려올	내리/pvg+어/ecs+오/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
거야	거/nbn+야/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
여기서	여기/npd+서/jca
묻고자	묻/pvg+고자/ecs
하는	하/pvg+는/etm
것은	것/nbn+은/jxc
이	이/mmd
문제를	문제/ncn+를/jco
속도의	속도/ncn+의/jcm
뺄셈으로	뺄셈/ncn+으로/jca
파악할	파악/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는가	있/paa+는가/ef
하는	하/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
계단의	계단/ncn+의/jcm
길이를	길이/ncn+를/jco
l	l/f
이라고	이/jp+라고/ecs
하면	하/pvg+면/ecs
,	,/sp
사람의	사람/ncn+의/jcm
속도는	속도/ncn+는/jxc
,	,/sp
에스컬레이터의	에스컬레이터/ncn+의/jcm
속도는	속도/ncn+는/jxc
이다	이/jp+다/ef
.	./sf
그런데	그런데/maj
반대	반대/ncn
방향이므로	방향/ncn+이/jp+므로/ecs
,	,/sp
사람의	사람/ncn+의/jcm
속도는	속도/ncn+는/jxc
정지된	정지/ncpa+되/xsv+ㄴ/etm
지면에	지면/ncn+에/jca
대해	대하/pvg+어/ecs
이	이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
즉	즉/mag
,	,/sp
속도가	속도/ncn+가/jcs
사람에	사람/ncn+에/jca
비해	비하/pvg+어/ecs
,	,/sp
에스컬레이터에	에스컬레이터/ncn+에/jca
비해	비하/pvg+어/ecs
이	이/jcc
된	되/pvg+ㄴ/etm
셈이다	셈/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
내려가는	내리/pvg+어/ecs+가/pvg+는/etm
데	데/nbn
걸리는	걸리/pvg+는/etm
시간은	시간/ncn+은/jxc
초가	초/nbu+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
만일	만일/mag
이	이/mmd
사람이	사람/ncn+이/jcs
에스컬레이터와	에스컬레이터/ncn+와/jct
같은	같/paa+은/etm
방향으로	방향/ncn+으로/jca
올라간다면	오르/pvg+아/ecs+가/pvg+ㄴ다면/ecs
몇	몇/mma
초만에	초/nbn+만/jxc+에/jca
올라갈	오르/pvg+아/ecs+가/pvg+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
이번에는	이/mmd+번/nbn+에/jca+는/jxc
속도를	속도/ncn+를/jco
더하면	더하/pvg+면/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
계산해	계산/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
24	24/nnc
초가	초/nbu+가/jcs
걸릴	걸리/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
얌전이	얌전이/nq
이야기는	이야기/ncn+는/jxc
유명한	유명/ncps+하/xsm+ㄴ/etm
제논의	제논/nq+의/jcm
역설과	역설/ncn+과/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
잠깐	잠깐/ncn
곁길로	곁길/ncn+로/jca
나가	나가/pvg+아/ecx
보자	보/px+자/ef
.	./sf
'	'/sl
날으는	날/pvg+으는/etm
화살은	화살/ncn+은/jxc
날지	날/pvg+지/ecx
않는다	않/px+는다/ef
'	'/sr
라는	라/ef+는/etm
말이	말/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
이	이/mmd
말이	말/ncn+이/jcs
무슨	무슨/mmd
뜻인가	뜻/ncn+이/jp+ㄴ가/ef
하면	하/pvg+면/ecs
,	,/sp
어떤	어떤/mmd
화살이	화살/ncn+이/jcs
목표	목표/ncn
지점을	지점/ncn+을/jco
향해	향하/pvg+어/ecs
날아가기	날/pvg+아/ecs+가/pvg+기/etn
위해서	위하/pvg+어서/ecs
화살은	이/mmd+화살/ncn+은/jxc
먼저	먼저/mag
목표	목표/ncn
지점의	지점/ncn+의/jcm
반이	반/ncn+이/jcc
되는	되/pvg+는/etm
지점을	지점/ncn+을/jco
지나가야	지나/pvg+아/ecs+가/pvg+야/ecs
한다	하/px+ㄴ다/ef
.	./sf
그리고	그리고/maj
그	그/mmd
지점의	지점/ncn+의/jcm
또	또/maj
절반을	절반/ncn+을/jco
먼저	먼저/mag
지나가야	지나/pvg+아/ecs+가/pvg+야/ecs
하며	하/px+며/ecs
,	,/sp
그	그/mmd
전에	전/ncn+에/jca
또	또/maj
그	그/mmd
반의	반/ncn+의/jcm
반	반/ncn
지점을	지점/ncn+을/jco
지나가야	지나/pvg+아/ecs+가/pvg+야/ecs
한다	하/px+ㄴ다/ef
.	./sf
이런	이런/mmd
식으로	식/ncn+으로/jca
목표	목표/ncn
지점	지점/ncn
전에	전/ncn+에/jca
무한	무한/ncn
개의	개/nbu+의/jcm
점을	점/ncn+을/jco
지나가야	지나/pvg+아/ecs+가/pvg+야/ecs
하는데	하/px+는데/ecs
,	,/sp
무한	무한/ncn
개의	개/nbu+의/jcm
점을	점/ncn+을/jco
지나가려면	지나/pvg+아/ecs+가/pvg+려면/ecs
무한의	무한/ncn+의/jcm
시간이	시간/ncn+이/jcs
필요하다	필요/ncps+하/xsm+다/ef
.	./sf
그러므로	그러므로/maj
화살은	화살/ncn+은/jxc
조금도	조금/ncn+도/jxc
나아갈	나아가/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
대충	대충/mag
이런	이런/mmd
논리다	논리/ncn+다/ef
.	./sf
물론	물론/mag
이것은	이것/npd+은/jxc
무한대와	무한대/ncn+와/jcj
무한소에	무한소/ncn+에/jca
대한	대하/pvg+ㄴ/etm
수학적	수학/ncn+적/xsn
개념이	개념/ncn+이/jcs
정립되면서	정립/ncpa+되/xsv+면서/ecs
해명되었다	해명/ncpa+되/xsv+었/ep+다/ef
.	./sf
간단히	간단/ncn+히/xsa
말하면	말/ncpa+하/xsv+면/ecs
,	,/sp
일정한	일정/ncps+하/xsm+ㄴ/etm
거리를	거리/ncn+를/jco
개로	무한/ncn+개/nbu+로/jca
쪼개면	쪼개/pvg+면/ecs
그	그/mmd
무한	무한/ncn
개의	개/nbu+의/jcm
점을	점/ncn+을/jco
통과하는	통과/ncpa+하/xsv+는/etm
시간도	시간/ncn+도/jxc
무한히	무한/ncn+히/xsa
작게	작/paa+게/ecs
되므로	되/pvg+므로/ecs
그	그/mmd
결과는	결과/ncn+는/jxc
결국	결국/mag
유한한	유한/ncps+하/xsm+ㄴ/etm
속도로	속도/ncn+로/jca
계산되는	계산/ncpa+되/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
수학은	수학/ncn+은/jxc
무한	무한/ncn
수열과	수열/ncn+과/jcj
미분	미분/ncn
,	,/sp
적분이라는	적분/ncn+이/jp+라/ef+는/etm
내용으로	내용/ncn+으로/jca
정리되어	정리/ncpa+되/xsv+어/ecx
있다	있/paa+다/ef
.	./sf
정답은	정답/ncn+은/jxc
똘똘이	똘똘이/nq
.	./sf
내가	내/npp+가/jcs
올라간다	오르/pvg+아/ecs+가/pvg+ㄴ다/ef
!	!/sf
도르래는	도르래/ncn+는/jxc
힘을	힘/ncn+을/jco
덜	덜/mag
들이고	들이/pvg+고/ecc
무거운	무겁/paa+ㄴ/etm
물체를	물체/ncn+를/jco
들거나	들/pvg+거나/ecc
당길	당기/pvg+ㄹ/etm
때	때/ncn
쓰는	쓰/pvg+는/etm
편리한	편리/ncps+하/xsm+ㄴ/etm
도구다	도구/ncn+다/ef
.	./sf
도르래를	도르래/ncn+를/jco
이용해서	이용/ncpa+하/xsv+어서/ecs
맨손으로	맨손/ncn+으로/jca
배를	배/ncn+를/jco
끌어올렸다는	끌/pvg+어/ecs+올리/pvg+었/ep+다/ef+는/etm
고대	고대/ncn
과학자의	과학/ncn+자/xsn+의/jcm
이야기가	이야기/ncn+가/jcs
전해지는	전하/pvg+어/ecx+지/px+는/etm
것을	것/nbn+을/jco
보면	보/pvg+면/ecs
,	,/sp
도르래는	도르래/ncn+는/jxc
아주	아주/mag
오래	오래/mag
전에	전/ncn+에/jca
발명되어	발명/ncpa+되/xsv+어/ecx
오랫동안	오랫동안/ncn
사용되어	사용/ncpa+되/xsv+어/ecx
온	오/px+ㄴ/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf
이	이/mmd
도르래를	도르래/ncn+를/jco
이용해서	이용/ncpa+하/xsv+어서/ecs
자신을	자신/ncn+을/jco
스스로	스스로/ncn
들어올릴	들/pvg+어/ecs+올리/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없을까	없/paa+을까/ef
?	?/sf
다음	다음/ncn
그림처럼	그림/ncn+처럼/jca
몸무게가	몸무게/ncn+가/jcs
60	60/nnc
kg	kg/su
인	이/jp+ㄴ/etm
사람이	사람/ncn+이/jcs
도르래에	도르래/ncn+에/jca
타고	타/pvg+고/ecs
앉아	앉/pvg+아/ecs
도르래의	도르래/ncn+의/jcm
한쪽	한쪽/ncn
줄을	줄/ncn+을/jco
잡아당긴다면	잡/pvg+아/ecs+당기/pvg+ㄴ다면/ecs
어떻게	어떻/pad+게/ecs
될까	되/pvg+ㄹ까/ef
?	?/sf
(	(/sl
단	단/maj
,	,/sp
도르래나	도르래/ncn+나/jcj
나무판자	나무/ncn+판자/ncn
,	,/sp
줄	줄/ncn
등의	등/nbn+의/jcm
무게는	무게/ncn+는/jxc
무시할	무시/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다고	있/paa+다고/ecs
하자	하/pvg+자/ef
.)	./sf+)/sr
차돌이	차돌이/nq
:	:/sp
아무리	아무리/mag
힘을	힘/ncn+을/jco
주어도	주/pvg+어도/ecs
들어올릴	들/pvg+어/ecs+올리/pvg+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
왜냐하면	왜냐하면/maj
작용과	작용/ncn+과/jcj
반작용	반/xp+작용/ncn
법칙이	법칙/ncn+이/jcs
작용하기	작용/ncpa+하/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
즉	즉/mag
,	,/sp
아래로	아래/ncn+로/jca
당기는	당기/pvg+는/etm
힘만큼	힘/ncn+만큼/jxc
반대	반대/ncn
방향으로의	방향/ncn+으로/jca+의/jcm
반작용이	반/xp+작용/ncn+이/jcs
작용하므로	작용/ncpa+하/xsv+므로/ecs
움직이지	움직이/pvg+지/ecx
않을	않/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
쉽게	쉽/paa+게/ecs
생각해서	생각/ncpa+하/xsv+어서/ecs
,	,/sp
60	60/nnc
kg	kg/su
중의	중/nbu+의/jcm
무게가	무게/ncn+가/jcs
줄	줄/ncn
세	세/nnc
가닥에	가닥/nbu+에/jca
매달린	매달리/pvg+ㄴ/etm
셈이다	셈/nbn+이/jp+다/ef
.	./sf
그런데	그런데/maj
이	이/mmd
사람은	사람/ncn+은/jxc
그	그/npd
중의	중/nbn+의/jcm
하나에	하나/nnc+에/jca
121121300 
121121400 
힘을	힘/ncn+을/jco
주는	주/pvg+는/etm
것이므로	것/nbn+이/jp+므로/ecs
,	,/sp
20	20/nnc
kg	kg/su
중의	중/nbu+의/jcm
힘	힘/ncn
이상만	이상/ncn+만/jxc
주면	주/pvg+면/ecs
서서히	서서/ncn+히/xsa
올라간다	오르/pvg+아/ecs+가/pvg+ㄴ다/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
움직도르래에	움직도르래/ncn+에/jca
걸려	걸리/pvg+어/ecx
있는	있/px+는/etm
줄은	줄/nbn+은/jxc
두	두/nnc
가닥이므로	가닥/nbu+이/jp+므로/ecs
,	,/sp
이	이/mmd
가닥에	두/nnc+가닥/nbu+에/jca
체중이	체중/ncn+이/jcs
실려	실리/pvg+어/ecx
있다고	있/px+다고/ecs
봐야	보/pvg+아야/ecs
한다	하/px+ㄴ다/ef
.	./sf
따라서	따라서/maj
30	30/nnc
kg	kg/su
중	중/nbu
이상의	이상/ncn+의/jcm
힘을	힘/ncn+을/jco
주어야	주/pvg+어야/ecs
올라갈	오르/pvg+아/ecs+가/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
도르래가	도르래/ncn+가/jcs
몇	몇/mma
개가	개/nbu+가/jcc
되든	되/pvg+든/ecs
여기서는	여기/npd+서/jca+는/jxc
상관이	상관/ncn+이/jcs
없다	없/paa+다/ef
.	./sf
이	이/mmd
상황은	상황/ncn+은/jxc
마치	마치/mag
줄을	줄/ncn+을/jco
타고	타/pvg+고/ecc
절벽을	절벽/ncn+을/jco
오르는	오르/pvg+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
자기	자기/npp
체중인	체중/ncn+이/jp+ㄴ/etm
60	60/nnc
kg	kg/su
중	중/nbu
이상의	이상/ncn+의/jcm
힘을	힘/ncn+을/jco
주어야	주/pvg+어야/ecs
오를	오르/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
이	이/mmd
사람이	사람/ncn+이/jcs
자신을	자신/ncn+을/jco
들어올리려면	들/pvg+어/ecs+올리/pvg+려면/ecs
어쨌든	어쨌든/mag
자기	자기/npp
체중과	체중/ncn+과/jct
같은	같/paa+은/etm
60	60/nnc
kg	kg/su
중의	중/nbu+의/jcm
힘을	힘/ncn+을/jco
주어야	주/pvg+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
그런데	그런데/maj
힘을	힘/ncn+을/jco
주는	주/pvg+는/etm
방향이	방향/ncn+이/jcs
아래쪽이므로	아래/ncn+쪽/nbn+이/jp+므로/ecs
자신이	자신/ncn+이/jcs
주는	주/pvg+는/etm
힘과	힘/ncn+과/jcj
체중이	체중/ncn+이/jcs
합해져서	합하/pvg+어/ecx+지/px+어서/ecs
120	120/nnc
kg	kg/su
중의	중/nbu+의/jcm
힘이	힘/ncn+이/jcs
줄에	줄/ncn+에/jca
걸리게	걸리/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
이	이/mmd
문제를	문제/ncn+를/jco
풀기	풀/pvg+기/etn
위해	위하/pvg+어/ecs
차근히	차근/ncn+히/xsa
몇	몇/mma
단계로	단계/ncn+로/jca
나누어	나누/pvg+어/ecx
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
줄	줄/ncn
대신에	대신/ncn+에/jca
강력한	강력/ncps+하/xsm+ㄴ/etm
용수철	용수철/ncn
하나에	저울/ncn+하나/nnc+에/jca
매달리면	매달리/pvg+면/ecs
저울의	저울/ncn+의/jcm
눈금은	눈금/ncn+은/jxc
60	60/nnc
kg	kg/su
중을	중/nbu+을/jco
가리킨다	가리키/pvg+ㄴ다/ef
.	./sf
이때에는	이/mmd+때/ncn+에/jca+는/jxc
60	60/nnc
kg	kg/su
중	중/nbu
이상의	이상/ncn+의/jcm
힘으로	힘/ncn+으로/jca
줄을	줄/ncn+을/jco
당겨야	당기/pvg+어야/ecs
올라갈	오르/pvg+아/ecs+가/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
도르래에	도르래/ncn+에/jca
줄을	줄/ncn+을/jco
매고	매/pvg+고/ecc
양쪽에	양쪽/ncn+에/jca
저울을	저울/ncn+을/jco
매단다	매달/pvg+ㄴ다/ef
.	./sf
한쪽	한쪽/ncn
저울은	저울/ncn+은/jxc
허리띠에	허리/ncn+띠/ncn+에/jca
연결시키고	연결/ncpa+시키/xsv+고/ecs
다른	다르/paa+ㄴ/etm
저울은	저울/ncn+은/jxc
손으로	손/ncn+으로/jca
잡고	잡/pvg+고/ecx
매달리면	매달리/pvg+면/ecs
,	,/sp
각	각/mma
저울의	저울/ncn+의/jcm
눈금은	눈금/ncn+은/jxc
30	30/nnc
kg	kg/su
중이	중/nbu+이/jcc
되낟	되/pvg+ㄴ다/ef
.	./sf
즉	즉/mag
30	30/nnc
kg	kg/su
중의	중/nbu+의/jcm
힘만	힘/ncn+만/jxc
주면	주/pvg+면/ecs
매달릴	매달리/pvg+ㄹ/etm
수	수/nbn
있으며	있/paa+으며/ecs
,	,/sp
그	그/mmd
이상이면	이상/ncn+이/jp+면/ecs
스스로를	스스로/ncn+를/jco
들어올릴	들/pvg+어/ecs+올리/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이제는	이제/ncn+는/jxc
용수철	용수철/ncn
저울	저울/ncn
세	세/nnc
개가	개/nbu+가/jcs
60	60/nnc
kg	kg/su
중을	중/nbu+을/jco
지탱하는	지탱/ncpa+하/xsv+는/etm
셈이므로	셈/nbn+이/jp+므로/ecs
한	한/nnc
용수철에	용수철/ncn+에/jca
각각	각각/mag
20	20/nnc
kg	kg/su
중이	중/nbu+이/jcs
걸린다	걸리/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
이	이/mmd
사람은	사람/ncn+은/jxc
20	20/nnc
kg	kg/su
중	중/nbu
이상의	이상/ncn+의/jcm
힘을	힘/ncn+을/jco
가할	가하/pvg+ㄹ/etm
때	때/nbn
들어올려진다	들/pvg+어/ecs+올리/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
그러나	그러나/maj
이런	이런/mmd
경우는	경우/ncn+는/jxc
상황이	상황/ncn+이/jcs
다르다	다르/paa+다/ef
.	./sf
이때는	이/mmd+때/ncn+는/jxc
나무판자에	나무/ncn+판자/ncn+에/jca
탄	타/pvg+ㄴ/etm
사람을	사람/ncn+을/jco
지탱하는	지탱/ncpa+하/xsv+는/etm
줄은	줄/nbn+은/jxc
두	두/nnc
개이므로	개/nbu+이/jp+므로/ecs
,	,/sp
바깥에서	바깥/ncn+에서/jca
당겨서	당기/pvg+어서/ecs
올리려면	올리/pvg+려면/ecs
체중의	체중/ncn+의/jcm
반인	반/ncn+이/jp+ㄴ/etm
30	30/nnc
kg	kg/su
중	중/nbu
이상의	이상/ncn+의/jcm
힘을	힘/ncn+을/jco
가해야	가하/pvg+어야/ecs
들어올릴	들/pvg+어/ecs+올리/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
그러므로	그러므로/maj
꿈돌이의	꿈돌이/nq+의/jcm
말이	말/ncn+이/jcs
