<tdmsfile>
#17:ph08[1003]
나트륨	나트륨/ncn
되돌아가기	되돌/pvg+아/ecs+가/pvg+기/etn
시작함을	시작/ncpa+하/xsv+ㅁ/etn+을/jco
의미한다	의미/ncps+하/xsm+ㄴ다/ef
.	./sf
#15:ph08[807]
위의	위/ncn+의/jcm
식을	식/ncn+을/jco
용수철의	용수철/ncn+의/jcm
탄성력에	탄성/ncn+력/xsn+에/jca
의한	의하/pvg+ㄴ/etm
퍼텐셜에너지	퍼텐셜에너지/ncn
함수	함수/ncn
501045920       <                       </sl
TEX	TEX/f
>$	>/sr+$/su
U	U/f
(	(/sl
x	x/f
)=\	)/sr+=/su+\/sp
frac	frac/f
{	{/sl
1	1/nnc
}{	}/sr+{/sl
2	2/nnc
}	}/sr
kx	kx/f
^	^/sy
2	2/nnc
501046080       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
에	에/jca
적용하면	적용/ncpa+하/xsv+면/ecs
예상한	예상/ncpa+하/xsv+ㄴ/etm
대로	대로/nbn
식	식/ncn
(	(/sl
8	8/nno
-	-/sd
17	17/nno
)	)/sr
은	은/jxc
F	F/f
(	(/sl
x	x/f
)=-	)/sr+=/sy+-/sy
kx	kx/f
가	가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
#15:ph08[777]
마찰력의	마찰/ncn+력/xsn+의/jcm
경우에	경우/ncn+에/jca
대하여	대하/pvg+여/ecs
같은	같/paa+은/etm
판별법을	판별/ncn+법/xsn+을/jco
적용하면	적용/ncpa+하/xsv+면/ecs
닫힌	닫히/pvg+ㄴ/etm
경로에	경로/ncn+에/jca
행해진	행하/pvg+어/ecx+지/px+ㄴ/etm
일이	일/ncn+이/jcs
0	0/nnc
이	이/jcc
아님을	아니/paa+ㅁ/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#15:ph08[775]
중력은	중력/ncn+은/jxc
공이	공/ncn+이/jcs
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
동안에는	동안/ncn+에/jca+는/jxc
음의	음/ncn+의/jcm
일을	일/ncn+을/jco
하고	하/pvg+고/ecc
공이	공/ncn+이/jcs
내려오는	내리/pvg+어/ecs+오/pvg+는/etm
동안에는	동안/ncn+에/jca+는/jxc
같은	같/paa+은/etm
크기의	크기/ncn+의/jcm
양의	양/ncn+의/jcm
일을	일/ncn+을/jco
한다	하/pvg+ㄴ다/ef
.	./sf
#15:ph08[709]
하지만	하지만/maj
만약	만약/mag
어린이가	어린이/ncn+가/jcs
미끄럼틀의	미끄럼틀/ncn+의/jcm
바닥에	바닥/ncn+에/jca
도달하는데	도달/ncpa+하/xsv+는데/ecs
걸린	걸리/pvg+ㄴ/etm
시간을	시간/ncn+을/jco
계산하라고	계산/ncpa+하/xsv+라/ef+고/jcr
한다면	하/pvg+ㄴ다/ef+면/ecs
에너지	에너지/ncn
방법이	방법/ncn+이/jcs
유용하지	유용/ncpa+하/xsv+지/ecx
않을지도	않/px+을지/ecs+도/jxc
모른다	모르/pvg+ㄴ다/ef
.	./sf
#15:ph08[639]
이와	이/npd+와/jct
같은	같/paa+은/etm
내용의	내용/ncn+의/jcm
한	한/nnc
예로	예/ncn+로/jca
추와	추/ncn+와/jcj
무게가	무게/ncn+가/jcs
없는	없/paa+는/etm
실로	실/ncn+로/jca
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
움직이는	움직이/pvg+는/etm
진자를	진자/ncn+를/jco
들	들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#15:ph08[630]
비록	비록/mag
입자의	입자/ncn+의/jcm
위치	위치/ncn
y	y/f
와	와/jcj
속력	속력/ncn
v	v/f
가	가/jcs
변하여도	변하/pvg+여/ecs+도/jxc
그것들은	그것/npd+들/xsn+은/jxc
언제나	언제나/mag
식	식/ncn
(	(/sl
8	8/nno
-	-/sd
11	11/nno
)	)/sr
에서	에서/jca
E	E/f
가	가/jcs
변하지	변하/pvg+지/ecx
않도록	않/px+도록/ecs
운동한다	운동/ncpa+하/xsv+ㄴ다/ef
.	./sf
#15:ph08[535]
한	한/nnc
예로	예/ncn+로/jca
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
1	1/nno
)	)/sr
의	의/jcm
장대	장대/ncn
높이	높이/ncn
뛰기는	뛰기/ncn+는/jxc
사람이	사람/ncn+이/jcs
장대를	장대/ncn+를/jco
휠	휘/pvg+ㄹ/etm
때	때/ncn
장대에	장대/ncn+에/jca
퍼텐셜에너지를	퍼텐셜에너지/ncn+를/jco
저장한다고	저장/ncpa+하/xsv+ㄴ다/ef+고/jcr
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
#15:ph08[529]
그의	그/npp+의/jcm
일은	일/ncn+은/jxc
역기	역기/ncn
-	-/sd
지구계의	지구/ncn+계/xsn+의/ncn
형태를	형태/ncn+를/jco
변화시켜	변화/ncpa+시키/xsv+어/ecs
,	,/sp
즉	즉/maj
지구와	지구/ncn+와/jcj
역기의	역기/ncn+의/jcm
상대적	상대/ncn+적/xsn
위치를	위치/ncn+를/jco
이동시켜	이동/ncpa+시키/xsv+어/ecs
이들의	이/npd+들/xsn+의/jcm
501047550       <                       </sl
b	b/f
>	>/sr
중력	중력/ncn
퍼텐셜에너지	퍼텐셜에너지/ncn
501047600       </                      </sl+//sp
b	b/f
>	>/sr
를	를/jco
증가시켰다	증가/ncpa+시키/xsv+었/ep+다/ef
.	./sf
#15:ph08[526]
세	세/nno
번째는	번째/nbu+는/jxc
열에너지로	열/ncn+에너지/ncn+로/jca
물체내의	물체/ncn+내/nbn+의/jcm
원자와	원자/ncn+와/jcj
분자의	분자/ncn+의/jcm
불규칙한	불/xp+규칙/ncpa+하/xsv+ㄴ/etm
운동에	운동/ncn+에/jca
관한	관하/pvg+ㄴ/etm
것인데	것/nbn+이/jp+ㄴ데/ecs
,	,/sp
이것	이것/npd
역시	역시/mag
논의에	논의/ncn+에/jca
포함될	포함/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#15:ph08[302]
이것은	이것/npd+은/jxc
물체가	물체/ncn+가/jcs
x_1	x_1/f
에	에/jca
도달했을	도달/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
그곳에	그/mmd+곳/ncn+에/jca
정지하는	정지/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
오른쪽	오른쪽/ncn
,	,/sp
즉	즉/maj
반대방향으로	반대/ncn+방향/ncn+으로/jca
되돌아가기	되돌/pvg+아/ecs+가/pvg+기/etn
시작함을	시작/ncpa+하/xsv+ㅁ/etn+을/jco
의미한다	의미/ncps+하/xsm+ㄴ다/ef
.	./sf
#15:ph08[286]
위의	위/ncn+의/jcm
식을	식/ncn+을/jco
용수철의	용수철/ncn+의/jcm
탄성력에	탄성/ncn+력/xsn+에/jca
의한	의하/pvg+ㄴ/etm
퍼텐셜에너지	퍼텐셜에너지/ncn
함수	함수/ncn
501048080       <                       </sl
TEX	TEX/f
>$	>/sr+$/su
U	U/f
(	(/sl
x	x/f
)=\	)/sl+=/sy+\/sp
frac	frac/f
{	{/sl
1	1/nnc
}{	}/sr+{/sl
2	2/nnc
}	}/sr
kx	kx/f
^	^/sy
2	2/nnc
501048240       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
에	에/jca
적용하면	적용/ncpa+하/xsv+면/ecs
예상한	예상/ncpa+하/xsv+ㄴ/etm
대로	대로/nbn
식	식/ncn
(	(/sl
8	8/nno
-	-/sd
17	17/nno
)	)/sr
은	은/jxc
F	F/f
(	(/sl
x	x/f
)=-	)/sr+=/sy+-/sy
kx	kx/f
가	가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
#15:ph08[256]
마찰력의	마찰/ncn+력/xsn+의/jcm
경우에	경우/ncn+에/jca
대하여	대하/pvg+여/ecs
같은	같/paa+은/etm
판별법을	판별/ncn+법/xsn+을/jco
적용하면	적용/ncpa+하/xsv+면/ecs
닫힌	닫히/pvg+ㄴ/etm
경로에	경로/ncn+에/jca
행해진	행하/pvg+어/ecx+지/px+ㄴ/etm
일이	일/ncn+이/jcs
0	0/nnc
이	이/jcc
아님을	아니/paa+ㅁ/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#15:ph08[254]
중력은	중력/ncn+은/jxc
공이	공/ncn+이/jcs
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
동안에는	동안/ncn+에/jca+는/jxc
음의	음/ncn+의/jcm
일을	일/ncn+을/jco
하고	하/pvg+고/ecc
공이	공/ncn+이/jcs
내려오는	내리/pvg+어/ecs+오/pvg+는/etm
동안에는	동안/ncn+에/jca+는/jxc
같은	같/paa+은/etm
크기의	크기/ncn+의/jcm
양의	양/ncn+의/jcm
일을	일/ncn+을/jco
한다	하/pvg+ㄴ다/ef
.	./sf
#15:ph08[188]
하지만	하지만/maj
만약	만약/mag
어린이가	어린이/ncn+가/jcs
미끄럼틀의	미끄럼틀/ncn+의/jcm
바닥에	바닥/ncn+에/jca
도달하는데	도달/ncpa+하/xsv+는데/ecs
걸린	걸리/pvg+ㄴ/etm
시간을	시간/ncn+을/jco
계산하라고	계산/ncpa+하/xsv+라/ef+고/jcr
한다면	하/pvg+ㄴ다/ef+면/ecs
에너지	에너지/ncn
방법이	방법/ncn+이/jcs
유용하지	유용/ncpa+하/xsv+지/ecx
않을지도	않/px+을지/ecs+도/jxc
모른다	모르/pvg+ㄴ다/ef
.	./sf
#15:ph08[118]
이와	이/npd+와/jct
같은	같/paa+은/etm
내용의	내용/ncn+의/jcm
한	한/nnc
예로	예/ncn+로/jca
추와	추/ncn+와/jcj
무게가	무게/ncn+가/jcs
없는	없/paa+는/etm
실로	실/ncn+로/jca
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
움직이는	움직이/pvg+는/etm
진자를	진자/ncn+를/jco
들	들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#15:ph08[109]
비록	비록/mag
입자의	입자/ncn+의/jcm
위치	위치/ncn
y	y/f
와	와/jcj
속력	속력/ncn
v	v/f
가	가/jcs
변하여도	변하/pvg+어/ecs+도/jxc
그것들은	그것/npd+들/xsn+은/jxc
언제나	언제나/mag
식	식/ncn
(	(/sl
8	8/nno
-	-/sd
11	11/nno
)	)/sr
에서	에서/jca
E	E/f
가	가/jcs
변하지	변하/pvg+지/ecx
않도록	않/px+도록/ecs
운동한다	운동/ncpa+하/xsv+ㄴ다/ef
.	./sf
#15:ph08[14]
한	한/nnc
예로	예/ncn+로/jca
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
1	1/nno
)	)/sr
의	의/jcm
장대	장대/ncn
높이	높이/ncn
뛰기는	뛰기/ncn+는/jxc
사람이	사람/ncn+이/jcs
장대를	장대/ncn+를/jco
휠	휘/pvg+ㄹ/etm
때	때/ncn
장대에	장대/ncn+에/jca
퍼텐셜에너지를	퍼텐셜에너지/ncn+를/jco
저장한다고	저장/ncpa+하/xsv+ㄴ다/ef+고/jcr
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
#15:ph08[8]
그의	그/npp+의/jcm
일은	일/ncn+은/jxc
역기	역기/ncn
-	-/sd
지구계의	지구/ncn+계/xsn+의/jcm
형태를	형태/ncn+를/jco
변화시켜	변화/ncpa+시키/xsv+어/ecs
,	,/sp
즉	즉/maj
지구와	지구/ncn+와/jcj
역기의	역기/ncn+의/jcm
상대적	상대/ncn+적/xsn
위치를	위치/ncn+를/jco
이동시켜	이동/ncpa+시키/xsv+어/ecs
이들의	이/npd+들/xsn+의/jcm
501049710       <                       </sl
b	b/f
>	>/sr
중력	중력/ncn
퍼텐셜에너지	퍼텐셜에너지/ncn
501049760       </                      </sl+//sp
b	b/f
>	>/sr
를	를/jco
증가시켰다	증가/ncpa+시키/xsv+었/ep+다/ef
.	./sf
#15:ph08[5]
(	(/sl
세	세/nno
번째는	번째/nbu+는/jxc
열에너지로	열/ncn+에너지/ncn+로/jca
물체내의	물체/ncn+내/nbn+의/jcm
원자와	원자/ncn+와/jcj
분자의	분자/ncn+의/jcm
불규칙한	불/xp+규칙/ncpa+하/xsv+ㄴ/etm
운동에	운동/ncn+에/jca
관한	관하/pvg+ㄴ/etm
것인데	것/nbn+이/jp+ㄴ데/ecs
,	,/sp
이것	이것/npd
역시	역시/mag
논의에	논의/ncn+에/jca
표함될	표함/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#15:ph07[471]
즉	즉/maj
,	,/sp
다른	다르/paa+ㄴ/etm
관측자들이	관측/ncn+자/xsn+들/xsn+이/jcs
같은	같/paa+은/etm
사건을	사건/ncn+을/jco
본다	보/pvg+ㄴ다/ef
하더라도	하/pvg+더라도/ecs
그들은	그/npp+들/xsn+은/jxc
같은	같/paa+은/etm
방식으로	방식/ncn+으로/jca
운동하는	운동/ncpa+하/xsv+는/etm
자연을	자연/ncps+을/jco
보아야	보/pvg+아야/ecs
한다는	하/px+ㄴ다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#15:ph07[422]
그림	그림/ncn
(	(/sl
7	7/nno
-	-/sd
20	20/nno
)	)/sr
은	은/jxc
꽤	꽤/mag
다르게	다르/paa+게/ecs
보이는	보이/pvg+는/etm
두	두/nnc
공식들이	공식/ncn+들/xsn+이/jcs
빠른	빠르/paa+ㄴ/etm
속력에서	속력/ncn+에서/jca
실제로	실제로/mag
대단히	대단/ncn+히/xsa
다른	다르/paa+ㄴ/etm
결과를	결과/ncn+를/jco
줌을	주/pvg+ㅁ/etn+을/jco
보여준다	보이/pvg+어/ecx+주/px+ㄴ다/ef
.	./sf
#15:ph07[413]
또한	또한/maj
벽돌을	벽돌/ncn+을/jco
싣고	싣/pvg+고/ecx
있는	있/px+는/etm
승강단과	승강단/ncn+과/jcj
케이블의	케이블/ncn+의/jcm
무게는	무게/ncn+는/jxc
무시하고	무시/ncpa+하/xsv+고/ecc
그	그/mmd
짐이	짐/ncn+이/jcs
가속도	가속도/ncn
없이	없/paa+이/xsa
상승할	상승/ncpa+하/xsv+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
가정한다	가정/ncpa+하/xsv+ㄴ다/ef
.	./sf
#15:ph07[407]
질량	질량/ncn
m	m/f
이	이/jcs
420	420/nnc
kg	kg/su
인	이/jp+ㄴ/etm
벽돌이	벽돌/ncn+이/jcs
실린	실리/pvg+ㄴ/etm
짐을	짐/ncn+을/jco
5	5/nnc
분	분/nbu
동안	동안/ncn
높이	높이/ncn
h	h/f
가	가/jcs
120	120/nnc
m	m/su
인	이/jp+ㄴ/etm
기중기에	기중/ncn+기/xsn+에/jca
의해	의하/pvg+어/ecs
들어	들/pvg+어/ecs
올려졌다	올리/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
#15:ph07[278]
그림	그림/ncn
(	(/sl
7	7/nno
-	-/sd
13	13/nno
)	)/sr
의	의/jcm
작은	작/paa+은/etm
직사각형은	직사각형/ncn+은/jxc
20	20/nnc
개의	개/nbu+의/jcm
정사각형으로	정사각형/ncn+으로/jca
(	(/sl
10	10/nnc
N	N/f
501050920       <                       </sl
TEX	TEX/f
>$\	>/sl+$/su+\/sp
cdot	cdot/f
501050960       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
cm	cm/su
)	)/sr
이루어져	이루/pvg+어/ecx+지/px+어/ecx
있으므로	있/px+으므로/ecs
이	이/mmd
직사각형을	직사각형/ncn+을/jco
중간	중간/ncn
단위면적으로	단위/ncn+면적/ncn+으로/jca
이용할	이용/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
#15:ph07[260]
용수철에	용수철/ncn+에/jca
의해	의하/pvg+어/ecs
한	하/pvg+ㄴ/etm
일은	일/ncn+은/jxc
물체의	물체/ncn+의/jcm
변위와	변위/ncn+와/jcj
용수철에	용수철/ncn+에/jca
의한	의하/pvg+ㄴ/etm
힘의	힘/ncn+의/jcm
방향이	방향/ncn+이/jcs
서로	서로/mag
반대이므로	반대/ncn+이/jp+므로/ecs
음수	음수/ncn
값을	값/ncn+을/jco
갖는다	갖/pvg+는다/ef
.	./sf
#15:ph07[225]
즉	즉/maj
k	k/f
가	가/jcs
크면	크/paa+면/ecs
클수록	크/paa+ㄹ수록/ecs
용수철의	용수철/ncn+의/jcm
탄성이	탄성/ncn+이/jcs
커져	크/paa+어/ecx+지/px+어/ecs
,	,/sp
주어진	주/pvg+어/ecx+지/px+ㄴ/etm
변위를	변위/ncn+를/jco
당기거나	당기/pvg+거나/ecc
누르는데	누르/paa+는데/ecs
더	더/mag
큰	크/paa+ㄴ/etm
힘이	힘/ncn+이/jcs
든다	들/pvg+ㄴ다/ef
.	./sf
#15:ph07[219]
용수철에	용수철/ncn+에/jca
작용하는	작용/ncpa+하/xsv+는/etm
힘	힘/ncn
F	F/f
와	와/jcj
용수철의	용수철/ncn+의/jcm
한쪽	한쪽/ncn
끝이	끝/ncn+이/jcs
용수철의	용수철/ncn+의/jcm
평형위치로부터	평형/ncn+위치/ncn+로/jca+부터/jxc
변위된	변위/ncpa+되/xsv+ㄴ/etm
거리	거리/ncn
d	d/f
사이에는	사이/ncn+에/jca+는/jxc
서로	서로/mag
비례관계가	비례/ncn+관계/ncn+가/jcs
성립한다	성립/ncpa+하/xsv+ㄴ다/ef
.	./sf
#15:ph07[180]
여기서	여기/npd+서/jca
501051640       <                       </sl
TEX	TEX/f
>${\	>/sr+$/su+{/sl+\/sp
Delta	Delta/f
}	}/sr
x	x/f
501051700       $</                     $/su+</s;+//sp
TEX	TEX/f
>	>/sr
를	를/jco
충분히	충분/ncn+히/xsa
좁게	좁/paa+게/ecs
만들면	만들/pvg+면/ecs
,	,/sp
이	이/mmd
거리	거리/ncn
내에서는	내/nbn+에서/jca+는/jxc
힘	힘/ncn
(	(/sl
Fx	Fx/f
)	)/sr
가	가/jcs
거의	거의/mag
일정하다고	일정/ncps+하/xsm+다/ef+고/jcr
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#15:ph07[177]
입자가	입자/ncn+가/jcs
처음	처음/mag
위치	위치/ncn
x_	x_/f
{	{/sl
i	i/f
}	}/sr
에서	에서/jca
나중	나중/ncn
위치	위치/ncn
x_	x_/f
{	{/sl
f	f/f
}	}/sr
까지	까지/jxc
움직이는데	움직이/pvg+는데/ecs
이	이/mmd
힘에	힘/ncn+에/jca
의해	의하/pvg+어/ecs
입자에	입자/ncn+에/jca
작용하는	작용/ncpa+하/xsv+는/etm
일은	일/ncn+은/jxc
얼마인가	얼마/ncn+이/jp+ㄴ가/ef
?	?/sf
#15:ph07[174]
여기서는	여기/npd+서/jca+는/jxc
입자에	입자/ncn+에/jca
작용하는	작용/ncpa+하/xsv+는/etm
힘과	힘/ncn+과/jcj
입자의	입자/ncn+의/jcm
변위가	변위/ncn+가/jcs
동일	동일/ncn
직선상에	직선/ncn+상/xsn+에/jca
놓여	놓이/pvg+어/ecx
있다고	있/px+다/ef+고/jcr
가정하고	가정/ncpa+하/xsv+고/ecc
이	이/mmd
직선을	직선/ncn+을/jco
x	x/f
축으로	축/ncn+으로/jca
정하자	정하/pvg+자/ef
.	./sf
#15:ph07[145]
긴	길/paa+ㄴ/etm
끈은	끈/ncn+은/jxc
낮은	낮/paa+은/etm
쪽	쪽/nbn
도르래에	도르래/ncn+에/jca
감겨	감기/pvg+어/ecs
올라가게	오르/pvg+아/ecs+가/pvg+게/ecs
되므로	되/pvg+므로/ecs
도르래의	도르래/ncn+의/jcm
이동거리는	이동/ncn+거리/ncn+는/jxc
손으로	손/ncn+으로/jca
당기는	당기/pvg+는/etm
거리의	거리/ncn+의/jcm
반이	반/nnc+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
#15:ph07[138]
여기서	여기/npd+서/jca
물체에	물체/ncn+에/jca
부착되어	부착/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
짧은	짧/paa+은/etm
끈의	끈/ncn+의/jcm
장력은	장력/ncn+은/jxc
T_	T_/f
{	{/sl
s	s/f
}	}/sr
이고	이/jp+고/ecc
,	,/sp
사람이	사람/ncn+이/jcs
잡고	잡/pvg+고/ecx
있는	있/px+는/etm
긴	길/paa+ㄴ/etm
끈의	끈/ncn+의/jcm
장력은	장력/ncn+은/jxc
T_	T_/f
{	{/sl
L	L/f
}	}/sr
이다	이/jp+다/ef
.	./sf
#15:ph07[123]
물체가	물체/ncn+가/jcs
일정한	일정/ncps+하/xsm+ㄴ/etm
속력으로	속력/ncn+으로/jca
들어올려진다고	들/pvg+어/ecs+올리/pvg+어/ecx+지/px+ㄴ다/ef+고/jcr
가정하면	가정/ncpa+하/xsv+면/ecs
끈에	끈/ncn+에/jca
의해	의하/pvg+어/ecs
작용해야	작용/ncpa+하/xsv+어야/ecs
하는	하/px+는/etm
힘	힘/ncn
T	T/f
의	의/jcm
크기는	크기/ncn+는/jxc
T	T/f
=	=/sy
mg	mg/f
와	와/jct
같아야	같/paa+아야/ecs
한다	하/px+ㄴ다/ef
.	./sf
#15:ph07[74]
Anderson	Anderson/f
이	이/jcs
들어올리는	들/pvg+어/ecs+올리/pvg+는/etm
데	데/nbn
엄청나게	엄청나/paa+게/ecs
큰	크/paa+ㄴ/etm
힘이	힘/ncn+이/jcs
필요하지만	필요/ncps+하/xsm+지만/ecs
,	,/sp
들어올리는	들/pvg+어/ecs+올리/pvg+는/etm
변위가	변위/ncn+가/jcs
짧기	짧/paa+기/etn
때문에	때문/nbn+에/jca
상대적으로	상대/ncn+적/xsn+으로/jca
한	하/pvg+ㄴ/etm
일은	일/ncn+은/jxc
적다	적/paa+다/ef
.	./sf
#15:ph07[72]
Anderson	Anderson/f
의	의/jcm
힘은	힘/ncn+은/jxc
크기는	크기/ncn+는/jxc
F_	F_/f
{	{/sl
PA	PA/f
}=	}/sr+=/sy
27	27/nnc
,	,/sp
000	000/nnc
N	N/f
이고	이/jp+고/ecc
,	,/sp
따라서	따라서/maj
(	(/sl
a	a/f
)	)/sr
에서와	에서/jca+와/jct
마찬가지	마찬가지/ncn
방법으로	방법/ncn+으로/jca
그가	그/npp+가/jcs
한	하/pvg+ㄴ/etm
일을	일/ncn+을/jco
구해	구하/pvg+어/ecx
보면	보/px+면/ecs
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
#15:ph07[36]
확실히	확실/ncn+히/xsa
고양이를	고양이/ncn+를/jco
받쳐들고	받치/pvg+어/ecs+들/pvg+고/ecc
운반하는	운반/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
몸을	몸/ncn+을/jco
지치게	지치/pvg+게/ecx
하는	하/px+는/etm
일이지만	일/ncn+이/jp+지만/ecs
식	식/ncn
(	(/sl
7	7/nno
-	-/sd
2	2/nno
)	)/sr
에	에/jca
의하면	의하/pvg+면/ecs
한	하/pvg+ㄴ/etm
일은	일/ncn+은/jxc
없다	없/paa+다/ef
.	./sf
#15:ph07[3]
그렇게	그렇/pad+게/ecx
함으로써	하/pvg+ㅁ/etn+으로써/jca
새로운	새롭/paa+ㄴ/etm
통찰력을	통찰/ncn+력/xsn+을/jco
얻게	얻/pvg+게/ecs
되고	되/pvg+고/ecc
좋은	좋/paa+은/etm
등산로로	등산/ncn+로/xsn+로/jca
어떻게	어떻/pad+게/ecs
쉽게	쉽/paa+게/ecs
등정할	등정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는가를	있/paa+는가/ef+를/jxc
알게	알/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
#15:ph06[591]
이	이/mmd
회전판의	회전/ncn+판/ncn+의/jcm
회전속도가	회전/ncn+속도/ncn+가/jcs
501053810       <                       </sl
TEX	TEX/f
>$	>/sr+$/su
33	33/nnc
\	\/sp
frac	frac/f
{	{/sl
1	1/nnc
}{	}/sr+{/sl
3	3/nnc
501053910       }$</                    }/sr+$/su+</sl+//sp
TEX	TEX/f
>	>/sr
회전	회전/ncn
\	\/sp
min	min/f
일	이/jp+ㄹ/etm
때는	때/ncn+는/jxc
물체가	물체/ncn+가/jcs
회전판	회전/ncn+판/ncn
위에	위/ncn+에/jca
그대로	그대로/mag
머물러	머무르/pvg+어/ecx
있으나	있/px+으나/ecs
45	45/nnc
회전	회전/ncn
/	//sp
min	min/f
이상일	이상/ncn+이/jp+ㄹ/etm
때는	때/ncn+는/jxc
미끄러지기	미끄러지/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
#15:ph06[517]
위에	위/ncn+에/jca
있는	있/paa+는/etm
물체를	물체/ncn+를/jco
아래에	아래/ncn+에/jca
있는	있/paa+는/etm
물체	물체/ncn
위에서	위/ncn+에서/jca
움직이게	움직이/pvg+게/ecx
하기	하/px+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
최소한	최소한/mag
12	12/nnc
N	N/f
의	의/jcm
수평력을	수평/ncn+력/xsn+을/jco
가해야만	가하/pvg+어야/ecs+만/jxc
한다	하/px+ㄴ다/ef
.	./sf
#15:ph06[491]
(	(/sl
a	a/f
)	)/sr
상자가	상자/ncn+가/jcs
비탈면을	비탈/ncn+면/ncn+을/jco
미끄러져	미끄러지/pvg+어/ecs
내려가지	내리/pvg+어/ecs+가/pvg+지/ecx
않기	않/px+기/etn
위하여	위하/pvg+어/ecs
비탈면과	비탈/ncn+면/ncn+과/jct
같은	같/paa+은/etm
방향으로	방향/ncn+으로/jca
가해야	가하/pvg+어야/ecs
할	하/px+ㄹ/etm
최소한의	최소한/ncn+의/jcm
힘	힘/ncn
F	F/f
는	는/jxc
얼마인가	얼마/ncn+이/jp+ㄴ가/ef
?	?/sf
#15:ph06[391]
(	(/sl
a	a/f
)	)/sr
다음의	다음/ncn+의/jcm
세	세/nnc
가지	가지/nbu
각도	각도/ncn
501054590       <                       </sl
TEX	TEX/f
>$\	>/sr+$/su+\/sp
theta	theta/f
501054630       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
에	에/jca
대하여	대하/pvg+여/ecs
마루바닥으로부터	마루/ncn+바닥/ncn+으로/jca+부터/jxc
의자가	의자/ncn+가/jcs
받는	받/pvg+는/etm
수직항력과	수직/ncn+항력/ncn+과/jcj
의자에	의자/ncn+에/jca
가한	가하/pvg+ㄴ/etm
힘의	힘/ncn+의/jcm
수평성분을	수평/ncn+성분/ncn+을/jco
구하여라	구하/pvg+여라/ef
.	./sf
#15:ph06[374]
이	이/mmd
운동을	운동/ncn+을/jco
(	(/sl
a	a/f
)	)/sr
지구와	지구/ncn+와/jcj
(	(/sl
b	b/f
)	)/sr
차에	차/ncn+에/jca
고정된	고정/ncpa+되/xsv+ㄴ/etm
좌표계에서	좌표/ncn+계/xsn+에서/jca
볼	보/pvg+ㄹ/etm
때	때/ncn
그	그/mmd
순간에	순간/ncn+에/jca
차와	차/ncn+와/jcj
승객에	승객/ncn+에/jca
가해지는	가하/pvg+어/ecx+지/px+는/etm
힘들을	힘/ncn+들/xsn+을/jco
기술하여라	기술/ncpa+하/xsv+여라/ef
.	./sf
#15:ph06[355]
그러나	그러나/maj
처음	처음/mag
던진	던지/pvg+ㄴ/etm
순간의	순간/ncn+의/jcm
속도를	속도/ncn+를/jco
측정하면	측정/ncpa+하/xsv+면/ecs
대개	대개/mag
이	이/mmd
속도보다	속도/ncn+보다/jca
큰	크/paa+ㄴ/etm
데	데/nbn
경우에	경우/ncn+에/jca
따라서는	따르/pvg+아서/ecs+는/jxc
100	100/nnc
mi	mi/f
/	//sp
h	h/su
보다도	보다/jca+도/jxc
크다	크/paa+다/ef
.	./sf
