
<tdmsfile>

머리는	머리/ncn+는/jxc
확인하지는	확인/ncpa+하/xsv+지/ecx+는/jxc
못했다	못하/px+었/ep+다/ef
.	./sf

그중에서도	그/mmd+중/nbn+에서/jca+도/jxc
대동강의	대동강/nq+의/jcm
산출량이	산출/ncn+량/ncn+이/jcs
특히	특히/mag
많은지	많/paa+은지/ecs
,	,/sp
평양에서는	평양/nq+에서/jca+는/jxc
생선가게에	생선/ncn+가게/ncn+에/jca
나올	나오/pvg+ㄹ/etm
정도라고	정도/ncn+라고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf

두우쟁이의	두우쟁이/ncn+의/jcm
입은	입/ncn+은/jxc
모래무지의	모래/ncn+무지/ncn+의/jcm
경우처럼	경우/ncn+처럼/jca
주둥이의	주둥이/ncn+의/jcm
밑에	밑/ncn+에/jca
붙어	붙/pvg+어/ecx
있어서	있/px+어서/ecs
모래	모래/ncn
바닥에	바닥/ncn+에/jca
잘	잘/mag
붙는다	붙/pvg+는다/ef
.	./sf

쎄유하오의	쎄유하오/nq+의/jcm
논문에	논문/ncn+에/jca
따르면	따르/pvg+면/ecs
,	,/sp
압록강의	압록강/nq+의/jcm
두우쟁이는	두우쟁이/ncn+는/jxc
아예	아예/mag
목록에도	목록/ncn+에/jca+도/jxc
올라	오르/pvg+아/ecx
있지	있/px+지/ecx
않다	않/px+다/ef
.	./sf

그렇다면	그렇다면/maj
압록강의	압록강/nq+의/jcm
두우쟁이는	두우쟁이/ncn+는/jxc
전멸했다는	전멸/ncpa+하/xsv+었/ep+다/ef+는/etm
것인지	것/nbn+이/jp+ㄴ지/ecs
,	,/sp
용암포의	용암포/nq+의/jcm
두우쟁이만은	두우쟁이/ncn+만/jxc+은/jxc
남았다는	남/pvg+았/ep+다/ef+는/etm
것인지	것/nbn+이/jp+ㄴ지/ecs
궁금하다	궁금/ncpa+하/xsv+다/ef
.	./sf

금년	금년/ncn
(	(/sl`
1990	1990/nno
)	)/sr'
에도	에/jca+도/jxc
300	300/nnc
년	년/nbu
전과	전/ncn+과/jca
다름없이	다르/paa+ㅁ/etn+없/paa+이/xsa
곡우가	곡우/ncn+가/jcc
되면	되/pvg+면/ecs
동면에서	동면/ncn+에서/jca
깨어나	깨어나/pvg+아/ecs
떼지어	떼/ncn+짓/pvg+어/ecs
산란장으로	산란/ncn+장/xsn+으로/jca
향할	향하/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

한강의	한강/nq+의/jcm
두우쟁이가	두우쟁이/ncn+가/jcs
안심하고	안심/ncpa+하/xsv+고/ecc
동면할	동면/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
곳은	곳/ncn+은/jxc
어디이며	어디/npd+이/jp+며/ecs
,	,/sp
산란할	산란/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
곳은	곳/ncn+은/jxc
어디인가	어디/npd+이/jp+ㄴ가/ef
.	./sf

인간은	인간/ncn+은/jxc
두	두/nnc
개의	개/nbu+의/jcm
죽음의	죽음/ncn+의/jcm
장벽을	장벽/ncn+을/jco
만들어놓고도	만들/pvg+어/ecx+놓/px+고/ecs+도/jxc
눈	눈/ncn
하나	하나/nn
깜짝하지	깜짝/ncps+하/xsm+지/ecx
않을	않/px+을/etm
만큼	만큼/nbn
잔인한	잔인/ncps+하/xsm+ㄴ/etm
존재가	존재/ncn+가/jcc
된	되/pvg+ㄴ/etm
것인지	것/nbn+이/jp+ㄴ지/ef
,	,/sp
아니면	아니/paa+면/ecs
그만큼	그/npd+만큼/jca
타락한	타락/ncpa+하/xsv+ㄴ/etm
것인지	것/nbn+이/jp+ㄴ지/ef
정말	정말/mag
알	알/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf

인간들이	인간/ncn+들/xsn+이/jcs
크게	크/paa+게/ecs
깨닫는	깨닫/pvg+는/etm
날이	날/ncn+이/jcs
오기까지	오/pvg+기/etn+까지/jxc
죽지	죽/pvg+지/ecx
말고	말/px+고/ecc
살아달라고	살/pvg+아/ecx+달라/px+고/jcr
빌	빌/pvg+ㄹ/etm
따름이다	따름/nbn+이/jp+다/ef
.	./sf

두우쟁이	두우쟁이/ncn
,	,/sp
미수개미	미수개미/ncn
,	,/sp
공지	공지/ncn
,	,/sp
셋	셋/nnc
중에서	중/nbn+에서/jca
하나를	하나/nnc+를/jco
고르라면	고르/pvg+라/ef+면/ecs
,	,/sp
필자는	필자/ncn+는/jxc
서슴지	서슴/pvg+지/ecx
않고	않/px+고/ecc
미수개미를	미수개미/ncn+를/jco
택할	택하/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

미수개미의	미수개미/ncn+의/jcm
어원은	어원/ncn+은/jxc
미수감미어로	미수감미어/ncn+로/jca
,	,/sp
허미수	허미수/nq
선비의	선비/ncn+의/jcm
고결한	고결/ncps+하/xsm+ㄴ/etm
인격과	인격/ncn+과/jcj
덕망을	덕망/ncn+을/jco
추모하기	추모/ncpa+하/xsv+기/etn
위하여	위하/pvg+어/ecs
백성들이	백성/ncn+들/xsn+이/jcs
붙인	붙이/pvg+ㄴ/etm
이름이다	이름/ncn+이/jp+다/ef
.	./sf

넓적넓적한	넓적넓적/mag+하/xsm+ㄴ/etm
바위가	바위/ncn+가/jcs
층층으로	층층/ncn+으로/jca
포개져	포개/pvg+어/ecx+지/px+어/ecx
있는데	있/px+는데/ecs
,	,/sp
모두	모두/mag
깎아내린	깎/pvg+아/ecx+내리/px+ㄴ/etm
것처럼	것/nbn+처럼/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf

어떤	어떤/mmd
것은	것/nbn+은/jxc
큰	크/paa+ㄴ/etm
옹기와	옹기/ncn+와/jct
같이	같/paa+이/xsa
깊어서	깊/paa+어서/ecs
바닥이	바닥/ncn+이/jcs
보이지	보이/pvg+지/ecx
않으며	않/px+으며/ecs
,	,/sp
어떤	어떤/mmd
것은	것/nbn+은/jxc
술단지처럼	술/ncn+단지/ncn+처럼/jca
생겨서	생기/pvg+어서/ecs
천태만상	천태만상/ncn
변화무쌍하다	변화무쌍/ncps+하/xsm+다/ef
.	./sf

그	그/mmd
물	물/ncn
속에	속/ncn+에/jca
사는	살/pvg+는/etm
물고기가	물고기/ncn+가/jcs
있는데	있/paa+는데/ecs
,	,/sp
등에	등/ncn+에/jca
있는	있/paa+는/etm
무늬가	무늬/ncn+가/jcs
중들이	중/ncn+들/xsn+이/jcs
입는	입/pvg+는/etm
가사와	가사/ncn+와/jct
같다고	같/paa+다/ef+고/jcr
해서	하/pvg+어서/ecs
가사어라고	가사어/ncn+라고/jcr
불린다	불리/pvg+ㄴ다/ef
.	./sf

그때	그/mmd+때/ncn
그물을	그물/ncn+을/jco
바위와	바위/ncn+와/jcj
폭포	폭포/ncn
사이에	사이/ncn+에/jca
치면	치/pvg+면/ecs
가사어가	가사어/ncn+가/jcs
뛰어오르다가	뛰/pvg+어/ecs+오르/pvg+다가/ecs
그물	그물/ncn
속에서	속/ncn+에서/jca
떨어진다	떨어지/pvg+ㄴ다/ef
.	./sf

가사와	가사/ncn+와/jct
같은	같/paa+은/etm
무늬를	무늬/ncn+를/jco
가지고	가지/pvg+고/ecx
있고	있/px+고/ecc
,	,/sp
봄에	봄/ncn+에/jca
상류로	상류/ncn+로/jca
올라갔다가	오르/pvg+아/ecs+가/pvg+았/ep+다가/ecs
가을에	가을/ncn+에/jca
되돌아오는	되돌/pvg+아/ecs+오/pvg+는/etm
물고기	물고기/ncn
.	./sf

봄에	봄/ncn+에/jca
세줄의	세/nnc+줄/nbu+의/jcm
붉은	붉/paa+은/etm
띠를	띠/ncn+를/jco
걸치고	걸치/pvg+고/ecc
상류	상류/ncn
쪽으로	쪽/nbn+으로/jca
이동하는	이동/ncpa+하/xsv+는/etm
물고기라면	물고기/ncn+라/ef+면/ecs
황어밖에	황어/ncn+밖에/jxc
없다	없/paa+다/ef
.	./sf

주둥이	주둥이/ncn
끝에서	끝/ncn+에서/jca
배	배/ncn
쪽을	쪽/nbn+을/jco
통과하여	통과/ncpa+하/xsv+어/ecs
꼬리의	꼬리/ncn+의/jcm
끝까지	끝/ncn+까지/jxc
달리는	달리/pvg+는/etm
것이	것/nbn+이/jcs
한	한/nnc
줄	줄/nbu
,	,/sp
어깨에서	어깨/ncn+에서/jca
시작해서	시작/ncpa+하/xsv+어서/ecs
옆줄	옆/ncn+줄/nbn
위를	위/ncn+를/jco
달리는	달리/pvg+는/etm
것이	것/nbn+이/jcs
한	한/nnc
줄	줄/nbu
,	,/sp
다른	다르/paa+ㄴ/etm
한	한/nnc
줄은	줄/nbu+은/jxc
눈	눈/ncn
뒤에서	뒤/ncn+에서/jca
시작해서	시작/ncpa+하/xsv+어서/ecs
몸의	몸/ncn+의/jcm
등쪽을	등/ncn+쪽/nbn+을/jco
꼬리지느러미에	꼬리/ncn+지느러미/ncn+에/jca
이르기까지	이르/pvg+기/etn+까지/jxc
달린다	달리/pvg+ㄴ다/ef
.	./sf

산란기가	산란/ncn+기/xsn+가/jcs
끝나면	끝/ncn+나/pvg+면/ecs
빨간색은	빨간색/ncn+은/jxc
재빨리	재빨리/mag
퇴색이	퇴색/ncn+이/jcc
되고	되/pvg+고/ecs
검은	검/paa+은/etm
띠만	띠/ncn+만/jxc
남지만	남/paa+지만/ecs
,	,/sp
나중에는	나중/ncn+에/jca+는/jxc
그것도	그것/npd+도/jxc
없어지고	없/paa+어/ecx+지/px+고/ecc
원래의	원래/ncn+의/jcm
황갈색을	황갈색/ncn+을/jco
되찾게	되찾/pvg+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

황어의	황어/ncn+의/jcm
육봉형은	육봉/ncn+형/xsn+은/jxc
과연	과연/mag
없는가	없/paa+는가/ef
황어는	황어/ncn+는/jxc
산란을	산란/ncn+을/jco
하기	하/pvg+기/etn
위하여	위하/pvg+어/ecs
이른봄에	이르/paa+ㄴ/etm+봄/ncn+에/jca
상류로	상류/ncn+로/jca
거슬러	거스르/pvg+어/ecs
올라간다	오르/pvg+아/ecs+가/pvg+ㄴ다/ef
.	./sf

눈이	눈/ncn+이/jcs
녹기	녹/pvg+기/etn
시작하면	시작/ncpa+하/xsv+면/ecs
황어는	황어/ncn+는/jxc
산란장을	산란/ncn+장/xsn+을/jco
찾아가기에	찾/pvg+아/ecs+가/pvg+기/etn+에/jca
바쁘다	바쁘/paa+다/ef
.	./sf

진달래	진달래/ncn
,	,/sp
살구꽃	살구꽃/ncn
,	,/sp
벗꽃이	벗꽃/ncn+이/jcs
피는	피/pvg+는/etm
시기를	시기/ncn+를/jco
놓치지	놓치/pvg+지/ecx
않겠다는	않/px+겠/ep+다/ef+는/etm
듯	듯/nbn
,	,/sp
그때가	그/mmd+때/ncn+가/jcc
되면	되/pvg+면/ecs
황어는	황어/ncn+는/jxc
이미	이미/mag
산란장에	산란/ncn+장/xsn+에/jca
와	오/pvg+아/ecx
있다	있/px+다/ef
.	./sf

마침내	마침내/mag
암컷은	암컷/ncn+은/jxc
앞으로	앞/ncn+으로/jca
달리면서	달리/pvg+면서/ecc
머리를	머리/ncn+를/jco
모래	모래/ncn
속에	속/ncn+에/jca
파묻을	파묻/pvg+을/etm
듯이	듯/nbn+이/jcs
강바닥을	강/ncn+바닥/ncn+을/jco
스쳐	스치/pvg+어/ecs
빠져나가	빠지/pvg+어/ecs+나가/pvg+아/ecs
,	,/sp
배를	배/ncn+를/jco
자갈밭에	자갈/ncn+밭/ncn+에/jca
대고	대/pvg+고/ecs
산란을	산란/ncn+을/jco
한다	하/pvg+ㄴ다/ef
.	./sf

그들	그/npp+들/xsn
중에는	중/nbn+에/jca+는/jxc
암컷이	암컷/ncn+이/jcs
낳은	낳/pvg+은/etm
알을	알/ncn+을/jco
시치미를	시치미/ncn+를/jco
떼고	떼/pvg+고/ecs
삼켜버리는	삼키/pvg+어/ecx+버리/px+는/etm
놈도	놈/ncn+도/jxc
있다	있/paa+다/ef
.	./sf

용유담의	용유담/nq+의/jcm
가사어는	가사어/ncn+는/jxc
과연	과연/mag
황어일까	황어/ncn+이/jp+ㄹ까/ef
?	?/sf
그렇다면	그렇다면/maj
용유담보다	용유담/nq+보다/jca
하류로	하류/ncn+로/jca
내려가지	내리/pvg+어/ecs+가/pvg+지/ecx
않고	않/px+고/ecs
알을	알/ncn+을/jco
낳기	낳/pvg+기/etn
위하여	위하/pvg+어/ecs
저연까지	저연/nq+까지/jxc
내왕한다는	내왕/ncpa+하/xsv+ㄴ다/ef+는/etm
이야기가	이야기/ncn+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf

담수형은	담수/ncn+형/xsn+은/jxc
민물에서만	민물/ncn+에서/jca+만/jxc
일생	일생/ncn
동안을	동안/ncn+을/jco
사는	살/pvg+는/etm
것들이고	것/nbn+들/xsn+이/jp+고/ecs
,	,/sp
강해형은	강해/ncn+형/xsn+은/jxc
바다를	바다/ncn+를/jco
드나드는	드나들/pvg+는/etm
것들이다	것/nbn+들/xsn+이/jp+다/ef
.	./sf

민물에	민물/ncn+에/jca
갇혀서	갇히/pvg+어서/ecs
바다로	바다/ncn+로/jca
내려가지	내리/pvg+어/ecs+가/pvg+지/ecx
못하게	못하/px+게/ecx
되었다는	되/pvg+었/ep+다/ef+는/etm
뜻에서	뜻/ncn+에서/jca
그렇게	그렇/pad+게/ecs
말하는	말/ncpa+하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

황어의	황어/ncn+의/jcm
산지	산지/ncn
고전을	고전/ncn+을/jco
읽는다는	읽/pvg+는다/ef+는/etm
것은	것/nbn+은/jxc
젊음에	젊음/ncn+에/jca
대한	대하/pvg+ㄴ/etm
반역도	반역/ncn+도/jxc
아니고	아니/paa+고/ecs
수치도	수치/ncn+도/jxc
아니다	아니/paa+다/ef
.	./sf

필자는	필자/ncn+는/jxc
이보다	이/npd+보다/jca
앞서	앞/ncn+서/pvg+어/ecs
황어의	황어/ncn+의/jcm
산지를	산지/ncn+를/jco
소개한	소개/ncpa+하/xsv+ㄴ/etm
고서가	고서/ncn+가/jcs
있는지	있/paa+는지/ecs
없는지	없/paa+는지/ecs
모른다	모르/pvg+ㄴ다/ef
.	./sf

몸이	몸/ncn+이/jcs
크고	크/paa+고/ecs
,	,/sp
식용으로	식용/ncn+으로/jca
했으며	하/pvg+었/ep+으며/ecs
,	,/sp
혼인색과	혼인/ncn+색/ncn+과/jcj
산란기의	산란/ncn+기/xsn+의/jcm
행동이	행동/ncn+이/jcs
특이했던	특이/ncps+하/xsm+었/ep+던/etm
까닭이었을	까닭/ncn+이/jp+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

바다를	바다/ncn+를/jco
드나드는	드나들/pvg+는/etm
강해형	강해/ncn+형/xsn
황어는	황어/ncn+는/jxc
부화	부화/ncn
후	후/ncn
1	1/nnc
년	년/nbu
또는	또는/maj
수년간	수년/ncn+간/xsn
살다가	살/pvg+다가/ecs
다시	다시/mag
하천에	하천/ncn+에/jca
나타나서	나타나/pvg+서/ecs
산란하는	산란/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
알려졌다	알리/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf

대부분의	대부분/ncn+의/jcm
어류가	어류/ncn+가/jcs
육상에서	육상/ncn+에서/jca
보면	보/pvg+면/ecs
색채를	색채/ncn+를/jco
구별하기가	구별/ncpa+하/xsv+기/etn+가/jcs
쉽지	쉽/paa+지/ecx
않지만	않/px+지만/ecs
,	,/sp
황어가	황어/ncn+가/jcs
떼지어	떼/ncn+짓/pvg+어/ecs
헤엄치는	헤엄/ncn+치/pvg+는/etm
것을	것/nbn+을/jco
보면	보/pvg+면/ecs
황갈색이	황갈색/ncn+이/jcs
완연하다	완연/ncps+하/xsm+다/ef
.	./sf

황해로	황해/nq+로/jca
주입되는	주입/ncpa+되/xsv+는/etm
하천이나	하천/ncn+이/jp+나/ecs
황해에서의	황해/nq+에서/jca+의/jcm
황어	황어/ncn
산지가	산지/ncn+가/jcs
거의	거의/mag
알려지지	알리/pvg+어/ecx+지/px+지/ecx
않고	않/px+고/ecx
있는	있/px+는/etm
것은	것/nbn+은/jxc
이	이/npd
때문인	때문/nbn+이/jp+ㄴ/etm
듯싶다	듯/nbn+싶/px+다/ef
.	./sf

바다를	바다/ncn+를/jco
드나드는	드나들/pvg+는/etm
2	2/nno
차	차/nbu
담수어이므로	담수어/ncn+이/jp+므로/ecs
,	,/sp
물만	물/ncn+만/jxc
깨끗하면	깨끗/ncps+하/xsm+면/ecs
황해라고	황해/nq+라고/ecs
못	못/mag
살	살/pvg+ㄹ/etm
이유가	이유/ncn+가/jcs
없다	없/paa+다/ef
.	./sf

동국여지승람	동국여지승람/nq
에는	에/jca+는/jxc
김포반도에	김포/nq+반도/ncn+에/jca
위치한	위치/ncpa+하/xsv+ㄴ/etm
통진현에서	통진현/nq+에서/jca
산출된다고	산출/ncpa+되/xsv+ㄴ다/ef+고/jcr
나와	나오/pvg+아/ecx
있고	있/px+고/ecs
,	,/sp
1904	1904/nno
년에서	년/nbu+에서/jca
1911	1911/nno
년	년/nbu
사이에	사이/ncn+에/jca
출판된	출판/ncpa+되/xsv+ㄴ/etm
한국수산지	한국수산지/nq
에는	에/jca+는/jxc
서울	서울/nq
용산에서	용산/nq+에서/jca
이다	이다/ncn
(	(/sl
Ida	Ida/f
)	)/sr
가	가/jcs
나온다고	나오/pvg+ㄴ다/ef+고/jcr
기록되어	기록/ncpa+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf

이색적인	이색/ncn+적/xsn+이/jp+ㄴ/etm
물고기	물고기/ncn
동국여지승람	동국여지승람/nq
의	의/jcm
가사어	가사어/ncn
이야기는	이야기/ncn+는/jxc
아무리	아무리/mag
생각해도	생각/ncpa+하/xsv+어도/ecs
신기하기만	신기/ncps+하/xsm+기/etn+만/jxc
하다	하/pvg+다/ef
.	./sf

중이	중/ncn+이/jcs
가사를	가사/ncn+를/jco
입은	입/pvg+은/etm
것	것/nbn
같은	같/paa+은/etm
모양을	모양/ncn+을/jco
하고	하/pvg+고/ecx
있어서	있/px+어서/ecs
가사어라는	가사어/ncn+라/ef+는/etm
이름이	이름/ncn+이/jcs
붙은	붙/pvg+은/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

산기슭에	산/ncn+기슭/ncn+에/jca
사는	살/pvg+는/etm
사람들은	사람/ncn+들/xsn+은/jxc
수년	수년/ncn
동안에	동안/ncn+에/jca
겨우	겨우/mag
한	한/nnc
마리를	마리/nbu+를/jco
볼지	보/pvg+ㄹ지/ecs
말지	말/pvg+ㄹ지/ecs
하다고	하/pvg+다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf

이들	이/npd+들/xsn
고서에	고서/ncn+에/jca
나오는	나오/pvg+는/etm
가사어가	가사어/ncn+가/jcs
황어와	황어/ncn+와/jct
같은	같/paa+은/etm
종인지	종/ncn+이/jp+ㄴ지/ecs
아닌지	아니/paa+ㄴ지/ecs
,	,/sp
현대를	현대/ncn+를/jco
사는	살/pvg+는/etm
우리에게는	우리/npp+에게/jca+는/jxc
이	이/mmd
문제를	문제/ncn+를/jco
규명하여야	규명/ncpa+하/xsv+어야/ecs
할	하/pvg+ㄹ/etm
의무가	의무/ncn+가/jcs
있다고	있/paa+다/ef+고/jcr
생각한다	생각/ncpa+하/xsv+ㄴ다/ef
.	./sf

그러려면	그러/pvd+려면/ecs
우선	우선/mag
용유담	용유담/nq
부근에	부근/ncn+에/jca
사는	살/pvg+는/etm
고로를	고로/ncn+를/jco
만나서	만나/pvg+서/ecs
가사어라는	가사어/ncn+라/ef+는/etm
말이	말/ncn+이/jcs
지금까지	지금/ncn+까지/jxc
전해지고	전하/pvg+어/ecx+지/px+고/ecx
있는지	있/px+는지/ecs
알아보아야	알/pvg+아/ecx+보/px+아야/ecx
한다	하/px+ㄴ다/ef
.	./sf

무엇보다도	무엇/npd+보다/jca+도/jxc
용유담에서	용유담/nq+에서/jca
현재도	현재/ncn+도/jxc
가사어를	가사어/ncn+를/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있는지	있/paa+는지/ecs
확인하여야	확인/ncpa+하/xsv+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf

동국여지승람	동국여지승람/nq
의	의/jcm
기록	기록/ncn
내용으로	내용/ncn+으로/jca
보아	보/pvg+아/ecs
가사어가	가사어/ncn+가/jcs
신화적인	신화/ncpa+적/xsn+이/jp+ㄴ/etm
존재는	존재/ncn+는/jxc
아니라는	아니/paa+라/ef+는/etm
것이	것/nbn+이/jcs
필자의	필자/ncn+의/jcm
추측이다	추측/ncn+이/jp+다/ef
.	./sf

은구어와	은구어/ncn+와/jcj
은어	은어/ncn
주둥이에	주둥이/ncn+에/jca
은백색의	은백색/ncn+의/jcm
뼈가	뼈/ncn+가/jcs
있는	있/paa+는/etm
은구어	은구어/ncn
서유구의	서유구/nq+의/jcm
[	[/sl
전어지	전어지/nq
]	]/sr
에는	에/jca+는/jxc
은어에	은어/ncn+에/jca
관하여	관하/pvg+어/ecs
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
기록이	기록/ncn+이/jcs
있다	있/paa+다/ef
.	./sf

등뼈	등뼈/ncn
사이에	사이/ncn+에/jca
지방분이	지방/ncn+분/xsn+이/jcs
엉겨붙어서	엉기/pvg+어/ecs+붙/pvg+어서/ecs
맛이	맛/ncn+이/jcs
담백하고	담백/ncps+하/xsm+고/ecs
비린내가	비린내/ncn+가/jcs
나지	나/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf

살아	살/pvg+아/ecx
있을	있/px+을/etm
때는	때/ncn+는/jxc
오이	오이/ncn
향기가	향기/ncn+가/jcs
있어서	있/paa+어서/ecs
물고기	물고기/ncn
중에서는	중/nbn+에서/jca+는/jxc
맛이	맛/ncn+이/jcs
특이하다	특이/ncps+하/xsm+다/ef
.	./sf

소금에	소금/ncn+에/jca
절여서	절이/pvg+어서/ecs
멀리	멀리/mag
보내기도	보내/pvg+기/etn+도/jxc
하고	하/pvg+고/ecs
,	,/sp
구워서	굽/pvg+어서/ecs
먹으면	먹/pvg+으면/ecs
향기가	향기/ncn+가/jcs
있고	있/paa+고/ecc
맛이	맛/ncn+이/jcs
좋다	좋/paa+다/ef
.	./sf

고서	고서/ncn
가운데서도	가운데/ncn+서/jca+도/jxc
은어에	은어/ncn+에/jca
대해	대하/pvg+어/ecs
가장	가장/mag
먼저	먼저/mag
보고한	보고/ncpa+하/xsv+ㄴ/etm
책은	책/ncn+은/jxc
하연의	하연/nq+의/jcm
경상도지리지	경상도지리지/nq
일	이/jp+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

이	이/mmd
책에도	책/ncn+에/jca+도/jxc
은구어로	은구어/ncn+로/jca
나오는데	나오/pvg+는데/ecs
,	,/sp
그	그/mmd
산지로	산지/ncn+로/jca
다음	다음/ncn
각지를	각지/ncn+를/jco
소개하고	소개/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf

그중	그/mmd+중/nbn
영해는	영해/nq+는/jxc
송천	송천/nq
,	,/sp
영덕은	영덕/nq+은/jxc
영덕	영덕/nq
오십천	오십천/nq
,	,/sp
청하는	청하/nq+는/jxc
청하천	청하천/nq
,	,/sp
언양과	언양/nq+과/jcj
울산은	울산/nq+은/jxc
태화강	태화강/nq
,	,/sp
사천은	사천/nq+은/jxc
사천천	사천천/nq
,	,/sp
악양은	악양/nq+은/jxc
섬진강	섬진강/nq
수계에	수계/ncn+에/jca
속하지만	속하/pvg+지만/ecs
,	,/sp
나머지는	나머지/ncn+는/jxc
모두	모두/mag
낙동강	낙동강/nq
수계에	수계/ncn+에/jca
속한다	속하/pvg+ㄴ다/ef
.	./sf

경상도지리지	경상도지리지/nq
에	에/jca
기록되지	기록/ncpa+되/xsv+지/ecx
않은	않/px+은/etm
산지들을	산지/ncn+들/xsn+을/jco
수계별로	수계/ncn+별/xsn+로/jca
소개하면	소개/ncpa+하/xsv+면/ecs
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf

풍기	풍기/nq
형산강	형산강/nq
수계	수계/ncn
:	:/sy
영일	영일/nq
영덕	영덕/nq
오십천	오십천/nq
:	:/sy
영덕	영덕/nq
평해	평해/nq
남대천	남대천/nq
:	:/sy
평해	평해/nq
왕피천	왕피천/nq
:	:/sy
울진	울진/nq
삼척	삼척/nq
오십천	오십천/nq
수계	수계/ncn
:	:/sy
삼척	삼척/nq
강릉	강릉/nq
남대천	남대천/nq
수계	수계/ncn
:	:/sy
강릉	강릉/nq
양양	양양/nq
남대천	남대천/nq
수계	수계/ncn
:	:/sy
양양	양양/nq
간성	간성/nq
북천	북천/nq
수계	수계/ncn
:	:/sy
간성	간성/nq
이수광의	이수광/nq+의/jcm
지봉유설	지봉유설/nq
에는	에/jca+는/jxc
은구어에	은구어/ncn+에/jca
대하여	대하/pvg+어/ecs
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
기록하고	기록/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf

은구어는	은구어/ncn+는/jxc
봄에	봄/ncn+에/jca
바다로부터	바다/ncn+로/jca+부터/jxc
상류	상류/ncn
쪽으로	쪽/nbn+으로/jca
거슬러올라가서	거스르/pvg+어/ecs+오르/pvg+아/ecs+가/pvg+서/ecs
여름	여름/ncn
,	,/sp
가을에	가을/ncn+에/jca
비대했다가	비대/ncps+하/xsm+었/ep+다가/ecs
,	,/sp
가을이	가을/ncn+이/jcs
깊어지면	깊/paa+어/ecx+지/px+면/ecs
없어진다	없/paa+어/ecx+지/px+ㄴ다/ef
.	./sf

어떤	어떤/mmd
사람은	사람/ncn+은/jxc
이	이/mmd
물고기가	물고기/ncn+가/jcs
남쪽의	남쪽/ncn+의/jcm
흐르는	흐르/pvg+는/etm
물에서만	물/ncn+에서/jca+만/jxc
산다고	살/pvg+ㄴ다/ef+고/jcr
말하지만	말/ncpa+하/xsv+지만/ecs
,	,/sp
그것이	그것/npd+이/jcs
사실인지	사실/ncn+이/jp+ㄴ지/ecs
아닌지는	아니/paa+ㄴ지/ecs+는/jxc
알	알/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf

동국여지승람	동국여지승람/nq
에는	에/jca+는/jxc
양주	양주/nq
,	,/sp
고양	고양/nq
,	,/sp
파주에서	파주/nq+에서/jca
산출된다고	산출/ncpa+되/xsv+ㄴ다/ef+고/jcr
되어	되/pvg+어/ecx
있지만	있/px+지만/ecs
,	,/sp
지금은	지금/ncn+은/jxc
드물다	드물/paa+다/ef
.	./sf

그러나	그러나/maj
몸은	몸/ncn+은/jxc
파리하고	파리/ncps+하/xsm+고/ecc
맛은	맛/ncn+은/jxc
많이	많/paa+이/xsa
떨어졌다	떨어지/pvg+었/ep+다/ef
.	./sf

이상의	이상/ncn+의/jcm
고서들을	고서/ncn+들/xsn+을/jco
보고	보/pvg+고/ecs
몇	몇/mma
가지	가지/nbu
추리할	추리/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
사실이	사실/ncn+이/jcs
있다	있/paa+다/ef
.	./sf

첫째는	첫째/nno+는/jxc
그	그/mmd
당시의	당시/ncn+의/jcm
은어의	은어/ncn+의/jcm
분포구역이	분포/ncn+구역/ncn+이/jcs
현재의	현재/ncn+의/jcm
그것에	그것/npd+에/jca
비해서	비하/pvg+어서/ecs
훨씬	훨씬/mag
넓었다는	넓/paa+었/ep+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

